gene	PiaoT1	PiaoT2	PiaoT3	PiaoT4	PiaoT5	PiaoT6	PiaoT7	PiaoT8	PiaoT9	CtrlT7	CtrlT8	CtrlT1	CtrlT2	CtrlT9	CtrlT10	CtrlT3	CtrlT4	CtrlT11	CtrlT12	CtrlT5	CtrlT6
ENSGALG00000015842	8.68363	10.2978	8.30254	7.33674	8.89503	7.69592	7.37568	9.15686	9.20642	8.05579	8.05343	7.84688	8.9323	7.63509	7.63402	7.38327	8.36219	7.57524	9.16357	8.93407	8.5032
ENSGALG00000004760	0.158876	0.861472	0.623234	0.358551	0.251865	0.271222	0.403276	0.366793	0.606754	1.04435	0.6906	0.521897	0.691442	0.397298	0.391088	1.1898	1.14414	0.589876	1.11882	0.842183	1.16246
ENSGALG00000003805	24.3988	19.754	21.9206	26.7005	21.4128	28.9923	17.4163	19.9279	16.3443	19.8428	23.2516	20.3963	17.9212	24.1705	21.2818	21.5536	21.5564	22.2413	19.0369	17.1653	17.7012
ENSGALG00000013756	0.551145	0.473942	0.711448	0.395299	0.243618	0.62138	0.45696	0.509014	0.509968	1.14147	0.999599	1.33717	0.771075	0.794435	0.640892	0.77875	0.843206	0.734074	0.967885	0.988025	0.713503
ENSGALG00000009474	76.2198	0	0	0	0	0	0	77.6252	0	80.3757	76.7613	0	85.404	0	0	71.493	75.7567	83.5119	72.9774	68.9536	0
ENSGALG00000004238	11.0987	13.1294	12.6881	12.1947	10.2757	11.9483	11.8165	10.3929	12.4073	11.5072	10.9868	10.6522	10.1886	12.0221	10.238	10.7069	8.38932	9.48315	9.39989	9.86212	10.3207
ENSGALG00000000114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000000252	0.0166519	0	0.00536743	0	0	0	0	0	0.0394941	0.0238831	0	0	0.0375576	0	0.0279027	0.0120323	0	0.0198262	0.0496428	0.0106526	0.0482195
ENSGALG00000024128	15.6076	15.3523	12.312	11.4598	11.2324	10.1557	12.7233	14.2874	14.0319	15.3138	15.4395	15.237	15.5972	14.9286	13.9121	13.09	10.1965	14.3029	14.5568	15.5872	12.9928
ENSGALG00000026489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000022250	0	0	0	0	0	0	0	0	0	0	0.618055	0	0	0	0	0	0	1.08491	1.81264	0	0
ENSGALG00000018288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000017389	4.50818	3.51259	3.42645	4.78383	4.06369	3.81505	4.91286	4.81086	4.52035	3.59027	3.28388	4.79054	4.61363	5.24866	4.45963	4.67458	4.96869	2.89717	4.53244	4.25905	3.99608
ENSGALG00000025093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000027484	0.92863	0	0.20513	0	0	0	0.0696464	1.15069	0.397938	0.285995	0.548255	0.618648	0.298505	0.625032	0.417601	0.647451	1.10358	0.798535	0.874876	0.653923	0.457174
ENSGALG00000005623	13.3375	12.0424	9.78117	9.778	10.5219	10.013	11.4667	11.0638	11.1656	12.1177	13.2046	13.0096	14.1706	11.3612	10.9294	12.3895	11.4816	12.1481	11.1346	12.6752	11.6299
ENSGALG00000006513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0649984	0	0	0	0	0	0
ENSGALG00000016167	2.70374	2.98401	2.62109	2.40631	2.17298	2.41162	2.50861	2.81909	2.54734	3.879	3.41878	3.24084	3.50664	2.99285	2.38912	3.5779	2.41442	3.56844	2.79445	2.7673	2.94312
ENSGALG00000017250	0.235044	0.109477	0.316462	0	0.0025505	0	0.0213018	0.0842535	0.0630987	0.119512	0.124606	0.139839	0.213802	0.27116	0.114968	0.080959	0.157789	0.0430085	0.109951	0.298832	0.150139
ENSGALG00000026918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000014736	0.861466	0.28371	0.642128	0.822573	0.784969	0.256661	0.548209	0.360842	1.34806	0.306197	0.941472	0.661276	0.449423	0.509593	0.796375	0.327989	0.597433	0.613132	0.299239	0.69605	0.794443
ENSGALG00000016487	7.54922	5.96809	8.03221	6.68625	6.18162	5.29936	5.76088	5.49165	6.45027	7.8052	8.0871	6.70502	7.48199	7.23642	7.58471	7.67496	6.87057	7.75478	7.11565	6.34682	9.42914
ENSGALG00000001226	7.21587	7.19833	6.22957	6.77637	8.69609	8.20677	8.6144	8.33757	8.62228	5.17503	6.4804	6.3654	6.6405	7.67602	7.82648	7.04642	8.86173	6.04657	7.18633	7.82117	7.54286
ENSGALG00000002152	0.408319	0.204561	0.234978	0.239317	0.368356	0.526788	0.0900213	0.361448	0.405277	0.133412	0.414171	0.246509	0.459618	0.187014	0.417355	0.340142	0.299005	0.407111	0.148678	0.288141	0.270447
ENSGALG00000029014	5.35917	2.0112	4.34685	8.88358	5.3433	9.18637	0.728511	2.72332	0.446413	2.91713	4.11913	2.47238	2.57231	5.90679	2.55094	4.19131	4.076	3.47284	0.87163	1.63829	1.74893
ENSGALG00000010242	0.64269	0.582177	1.08906	1.08041	0.758671	0.865896	0.524956	0.943806	0.615197	0.52662	0.396246	1.05982	0.701103	0.244894	0.566888	0.717179	0.473385	0.555569	0.543062	0.460396	0.605697
ENSGALG00000026506	0.703711	0.641905	0.432981	0.824545	0.605228	1.08201	0.607605	0.654131	1.11929	0.52289	0.768193	0.837327	0.475316	0.797639	0.674264	0.809123	0.899775	1.00689	0.655402	0.959225	0.917337
ENSGALG00000023180	3.3353	3.08591	4.87226	3.55369	2.33629	2.1905	3.05676	2.6584	4.20678	2.12981	2.18449	3.27012	2.5844	1.19545	3.07282	4.56192	5.33191	1.28283	2.20357	2.27991	2.97062
ENSGALG00000010101	0.994596	0.769078	1.07369	1.63405	1.60574	0.635929	1.02983	1.24145	2.31391	0.925873	1.50431	1.06025	1.02222	0.932564	1.99019	1.09208	0.920362	0.920809	0.599254	1.38509	1.12442
ENSGALG00000028846	41.4176	38.1852	27.8758	30.388	35.9191	28.3317	39.6027	34.1459	37.7224	30.2164	29.2672	36.3475	38.7899	33.3641	32.9323	32.5505	37.5836	30.5231	34.2801	36.5446	32.4855
ENSGALG00000005299	9.80704	8.98557	9.6695	9.38097	10.1371	7.71619	8.83521	11.4396	8.92541	14.1934	9.05967	15.4743	7.97421	9.51436	9.5841	11.6158	17.2867	11.844	18.6694	11.1034	12.0262
ENSGALG00000004331	13.1984	9.80115	17.8767	34.5256	16.811	25.0777	9.80032	9.94786	10.783	10.3786	11.8675	10.0822	15.428	16.6245	13.2771	18.577	13.9674	16.9656	3.3562	8.60429	14.4408
ENSGALG00000000930	28.3853	24.5683	30.2581	27.7649	31.4753	32.9933	24.5586	25.4802	24.8037	27.7294	30.6254	30.1451	30.837	33.592	24.9921	29.5985	32.4705	21.1404	22.6476	27.9689	24.9578
ENSGALG00000013257	302.412	280.159	335.37	244.672	204.15	224.027	246.792	211.392	230.644	360.357	309.13	317.223	306.549	282.051	299.902	308.446	229.324	271.78	228.402	238.878	216.442
ENSGALG00000015989	3.97711	3.88042	2.66973	2.11239	2.96386	3.01481	2.95172	3.31336	2.04557	3.95816	4.29043	3.29462	5.99305	4.15913	4.02726	4.1417	5.74325	3.88071	2.31491	2.39337	5.89799
ENSGALG00000015809	6.22024	4.45099	6.6014	8.32969	6.07175	7.29733	4.86863	6.89515	5.87976	6.03919	6.50045	6.32638	6.8979	6.39664	6.23871	6.9881	6.76049	6.84157	5.34363	5.87175	6.30654
ENSGALG00000013243	21.005	21.3552	20.1613	25.2894	27.8587	25.6119	29.2085	25.1908	26.0915	16.7051	23.534	16.1079	20.3888	20.7142	20.6672	19.5459	21.5281	14.8155	20.7548	22.2493	18.2842
ENSGALG00000013286	5.85839	5.66411	4.47005	5.72902	6.55249	6.31187	6.56968	6.15609	8.15549	5.38127	6.52222	6.14906	7.59374	7.10929	5.99066	6.59416	7.77769	5.39806	6.12682	7.15517	6.93112
ENSGALG00000013049	8.11358	7.59494	8.36891	7.48626	6.97078	7.17591	7.00517	7.81041	7.52165	9.67446	9.69261	9.53227	8.96117	8.68676	9.7487	8.79789	8.24902	10.6702	10.8543	8.1619	12.1822
ENSGALG00000027533	0.366924	3.59632	4.27626	3.35697	1.25914	6.33146	3.7245	1.3148	1.65986	2.54503	3.62358	2.62781	3.26098	2.94885	1.9439	2.86558	2.57345	1.72234	1.34265	2.73033	3.94516
ENSGALG00000029028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000012082	15.7901	23.4935	17.6347	20.6545	18.1051	14.8322	19.785	19.6262	19.2159	19.3985	20.7865	20.2671	21.3548	21.2111	20.4483	26.4614	17.4139	20.2309	22.5289	18.2808	21.2516
ENSGALG00000007505	0	0.0185682	0	0.0160218	0	0	0.102089	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000011277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000007199	30.8208	44.095	31.5063	37.5665	30.9487	28.8152	39.2758	43.2208	38.6344	32.8243	33.8213	32.4567	34.4684	38.5167	38.1279	34.8024	34.2966	39.128	36.965	34.6355	37.4484
ENSGALG00000007356	0.203065	0.115762	0.0482958	0.114597	0.144003	0.0109511	0.227408	0.197505	0.356436	0.0109208	0	0.140241	0.0645686	0	0.056506	0.037827	0.0401945	0.102784	0.0253726	0.0587731	0.145722
ENSGALG00000025577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000002235	21.3536	22.8821	22.5061	22.0374	23.7236	20.8497	26.0892	22.852	28.1135	23.4935	25.8599	25.6655	25.4676	26.2069	23.4021	24.2775	26.0375	19.9114	22.2698	25.5226	22.6109
ENSGALG00000028407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
